Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Cebu Pacific,2024-04-16,Manila (MNL),Legazpi (LGP),MNL-LGP,08:45,09:45,1h 00m,0,No info,3400
Philippine Airlines,2024-04-20,Davao (DVO),Manila (MNL),DVO-MNL,21:00,23:15,2h 15m,0,In-flight meal,5400
AirAsia Philippines,2024-04-25,Manila (MNL),Bacolod (BCD),MNL-BCD,15:30,16:45,1h 15m,0,No info,4200
Cebu Pacific,2024-05-01,Manila (MNL),Cebu (CEB),MNL-CEB,11:20,12:50,1h 30m,0,No info,4400
Philippine Airlines,2024-05-05,Manila (MNL),Davao (DVO),MNL-DVO,07:45,10:00,2h 15m,0,No info,5200
AirAsia Philippines,2024-05-10,Cebu (CEB),Iloilo (ILO),CEB-ILO,14:20,15:05,0h 45m,0,No info,2700
Philippine Airlines,2024-05-15,Manila (MNL),Puerto Princesa (PPS),MNL-PPS,09:15,10:45,1h 30m,0,No info,4300
Cebu Pacific,2024-05-20,Manila (MNL),Kalibo (KLO),MNL-KLO,17:30,18:45,1h 15m,0,No info,4000
AirAsia Philippines,2024-05-25,Davao (DVO),Cagayan de Oro (CGY),DVO-CGY,13:10,13:55,0h 45m,0,No info,3100
Philippine Airlines,2024-06-01,Manila (MNL),General Santos (GES),MNL-GES,10:45,12:35,1h 50m,0,No info,4800
Cebu Pacific,2024-06-05,Manila (MNL),Cebu (CEB),MNL-CEB,20:45,22:15,1h 30m,0,No info,4500
Philippine Airlines,2024-06-10,Cebu (CEB),Davao (DVO),CEB-DVO,06:30,07:45,1h 15m,0,In-flight meal,3900
AirAsia Philippines,2024-06-15,Manila (MNL),Tacloban (TAC),MNL-TAC,11:45,13:05,1h 20m,0,No info,3900
Cebu Pacific,2024-06-20,Manila (MNL),Iloilo (ILO),MNL-ILO,08:15,09:30,1h 15m,0,No info,4100
Philippine Airlines,2024-06-25,Manila (MNL),Legazpi (LGP),MNL-LGP,14:00,15:00,1h 00m,0,No info,3600
Cebu Pacific,2024-07-01,Davao (DVO),Manila (MNL),DVO-MNL,19:30,21:45,2h 15m,0,No info,5300
AirAsia Philippines,2024-07-05,Manila (MNL),Caticlan (MPH),MNL-MPH,07:45,08:55,1h 10m,0,No info,4100
Philippine Airlines,2024-07-10,Manila (MNL),Bacolod (BCD),MNL-BCD,16:20,17:35,1h 15m,0,No info,4300
Cebu Pacific,2024-07-15,Manila (MNL),Davao (DVO),MNL-DVO,05:15,07:30,2h 15m,0,No info,5200
Philippine Airlines,2024-07-20,Cebu (CEB),Puerto Princesa (PPS),CEB-PPS,12:40,14:10,1h 30m,0,No info,3900
AirAsia Philippines,2024-07-25,Manila (MNL),Cebu (CEB),MNL-CEB,13:30,15:00,1h 30m,0,In-flight meal,4600
Cebu Pacific,2024-08-01,Manila (MNL),Iloilo (ILO),MNL-ILO,09:45,11:00,1h 15m,0,No info,4200
Philippine Airlines,2024-08-05,Davao (DVO),Cebu (CEB),DVO-CEB,15:10,16:25,1h 15m,0,No info,3800
AirAsia Philippines,2024-08-10,Manila (MNL),Kalibo (KLO),MNL-KLO,18:15,19:30,1h 15m,0,No info,4100
Cebu Pacific,2024-08-15,Manila (MNL),General Santos (GES),MNL-GES,11:00,12:50,1h 50m,0,No info,4900
Philippine Airlines,2024-08-20,Manila (MNL),Puerto Princesa (PPS),MNL-PPS,08:30,10:00,1h 30m,0,No info,4400
AirAsia Philippines,2024-08-25,Cebu (CEB),Iloilo (ILO),CEB-ILO,17:30,18:15,0h 45m,0,No info,2800
Cebu Pacific,2024-09-01,Manila (MNL),Legazpi (LGP),MNL-LGP,10:15,11:15,1h 00m,0,No info,3500
Philippine Airlines,2024-09-05,Manila (MNL),Davao (DVO),MNL-DVO,14:45,17:00,2h 15m,0,In-flight meal,5400
AirAsia Philippines,2024-09-10,Manila (MNL),Cebu (CEB),MNL-CEB,06:45,08:15,1h 30m,0,No info,4500
Cebu Pacific,2024-09-15,Davao (DVO),Cagayan de Oro (CGY),DVO-CGY,12:20,13:05,0h 45m,0,No info,3200
Philippine Airlines,2024-09-20,Manila (MNL),Tacloban (TAC),MNL-TAC,16:45,18:05,1h 20m,0,No info,4000
AirAsia Philippines,2024-09-25,Manila (MNL),Bacolod (BCD),MNL-BCD,07:30,08:45,1h 15m,0,No info,4200
Cebu Pacific,2024-10-01,Manila (MNL),Caticlan (MPH),MNL-MPH,13:15,14:25,1h 10m,0,No info,4100
Philippine Airlines,2024-10-05,Cebu (CEB),Davao (DVO),CEB-DVO,09:40,10:55,1h 15m,0,No info,3700
AirAsia Philippines,2024-10-10,Manila (MNL),Iloilo (ILO),MNL-ILO,20:30,21:45,1h 15m,0,No info,4100
Cebu Pacific,2024-10-15,Manila (MNL),Puerto Princesa (PPS),MNL-PPS,11:45,13:15,1h 30m,0,No info,4300
Philippine Airlines,2024-10-20,Davao (DVO),Manila (MNL),DVO-MNL,17:15,19:30,2h 15m,0,No info,5300
AirAsia Philippines,2024-10-25,Manila (MNL),Cebu (CEB),MNL-CEB,15:00,16:30,1h 30m,0,In-flight meal,4700
Cebu Pacific,2024-11-01,Manila (MNL),Kalibo (KLO),MNL-KLO,08:45,10:00,1h 15m,0,No info,4100
Philippine Airlines,2024-11-05,Manila (MNL),Davao (DVO),MNL-DVO,06:30,08:45,2h 15m,0,No info,5200
AirAsia Philippines,2024-11-10,Cebu (CEB),Iloilo (ILO),CEB-ILO,14:50,15:35,0h 45m,0,No info,2700
Cebu Pacific,2024-11-15,Manila (MNL),General Santos (GES),MNL-GES,10:30,12:20,1h 50m,0,No info,4800
Philippine Airlines,2024-11-20,Manila (MNL),Legazpi (LGP),MNL-LGP,12:45,13:45,1h 00m,0,No info,3600
AirAsia Philippines,2024-11-25,Manila (MNL),Bacolod (BCD),MNL-BCD,19:15,20:30,1h 15m,0,No info,4200
Cebu Pacific,2024-12-01,Manila (MNL),Cebu (CEB),MNL-CEB,10:10,11:40,1h 30m,0,No info,4400
Philippine Airlines,2024-12-05,Davao (DVO),Cebu (CEB),DVO-CEB,16:40,17:55,1h 15m,0,In-flight meal,3900
AirAsia Philippines,2024-12-10,Manila (MNL),Tacloban (TAC),MNL-TAC,09:15,10:35,1h 20m,0,No info,3900
Cebu Pacific,2024-12-15,Manila (MNL),Puerto Princesa (PPS),MNL-PPS,14:30,16:00,1h 30m,0,No info,4300
Philippine Airlines,2024-12-20,Manila (MNL),Iloilo (ILO),MNL-ILO,07:45,09:00,1h 15m,0,No info,4200
AirAsia Philippines,2024-12-25,Manila (MNL),Caticlan (MPH),MNL-MPH,11:30,12:40,1h 10m,0,No info,4200
Cebu Pacific,2024-12-28,Davao (DVO),Manila (MNL),DVO-MNL,20:45,23:00,2h 15m,0,No info,5500
Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Philippine Airlines,2024-01-01,Manila (MNL),Cebu (CEB),MNL-CEB,08:15,09:45,1h 30m,0,No info,4800
Cebu Pacific,2024-01-01,Manila (MNL),Davao (DVO),MNL-DVO,06:30,08:45,2h 15m,0,No info,5500
AirAsia Philippines,2024-01-01,Manila (MNL),Iloilo (ILO),MNL-ILO,14:45,16:00,1h 15m,0,No info,4500
Philippine Airlines,2024-01-02,Cebu (CEB),Manila (MNL),CEB-MNL,10:30,12:00,1h 30m,0,No info,4700
Cebu Pacific,2024-01-02,Manila (MNL),Puerto Princesa (PPS),MNL-PPS,09:30,11:00,1h 30m,0,No info,4600
AirAsia Philippines,2024-01-02,Manila (MNL),Kalibo (KLO),MNL-KLO,07:15,08:30,1h 15m,0,No info,4400
Philippine Airlines,2024-01-03,Legazpi (LGP),Davao (DVO),LGP-MNL-DVO,06:45,11:00,4h 15m,1,Layover in MNL,6800
Cebu Pacific,2024-01-03,Zamboanga (ZAM),Iloilo (ILO),ZAM-CEB-ILO,10:30,13:45,3h 15m,1,Layover in CEB,5200
AirAsia Philippines,2024-01-03,Cagayan de Oro (CGY),Puerto Princesa (PPS),CGY-MNL-PPS,13:10,18:25,5h 15m,1,Layover in MNL,6100
Philippine Airlines,2024-01-04,Manila (MNL),Legazpi (LGP),MNL-LGP,12:15,13:15,1h 00m,0,No info,3800
Cebu Pacific,2024-01-04,Manila (MNL),Tacloban (TAC),MNL-TAC,16:20,17:40,1h 20m,0,No info,4100
AirAsia Philippines,2024-01-04,Manila (MNL),Caticlan (MPH),MNL-MPH,06:00,07:10,1h 10m,0,No info,4200
Philippine Airlines,2024-01-05,Bacolod (BCD),General Santos (GES),BCD-CEB-GES,08:15,12:05,3h 50m,1,Layover in CEB,5800
Cebu Pacific,2024-01-05,Tacloban (TAC),Davao (DVO),TAC-CEB-DVO,08:40,12:25,3h 45m,1,Layover in CEB,5100
AirAsia Philippines,2024-01-05,Manila (MNL),Cagayan de Oro (CGY),MNL-CGY,11:20,12:50,1h 30m,0,No info,4700
Philippine Airlines,2024-01-06,Manila (MNL),Cebu (CEB),MNL-CEB,19:00,20:30,1h 30m,0,In-flight meal,4900
Cebu Pacific,2024-01-06,Davao (DVO),Cebu (CEB),DVO-CEB,07:20,08:35,1h 15m,0,No info,3800
AirAsia Philippines,2024-01-06,Kalibo (KLO),Zamboanga (ZAM),KLO-MNL-ZAM,15:30,21:45,6h 15m,1,Layover in MNL,7200
Philippine Airlines,2024-01-07,Manila (MNL),Davao (DVO),MNL-DVO,05:45,08:00,2h 15m,0,No info,5600
Cebu Pacific,2024-01-07,Manila (MNL),Iloilo (ILO),MNL-ILO,13:45,15:00,1h 15m,0,No info,4400
AirAsia Philippines,2024-01-07,Cebu (CEB),Puerto Princesa (PPS),CEB-PPS,11:20,12:50,1h 30m,0,No info,4000
Philippine Airlines,2024-01-08,Iloilo (ILO),Legazpi (LGP),ILO-MNL-LGP,09:20,13:15,3h 55m,1,Layover in MNL,5900
Cebu Pacific,2024-01-08,General Santos (GES),Bacolod (BCD),GES-CEB-BCD,14:00,18:35,4h 35m,1,Layover in CEB,6200
AirAsia Philippines,2024-01-08,Manila (MNL),Kalibo (KLO),MNL-KLO,18:15,19:30,1h 15m,0,No info,4400
Philippine Airlines,2024-01-09,Manila (MNL),Cebu (CEB),MNL-CEB,11:20,12:50,1h 30m,0,No info,4700
Cebu Pacific,2024-01-09,Puerto Princesa (PPS),Tacloban (TAC),PPS-CEB-TAC,09:15,13:30,4h 15m,1,Layover in CEB,6100
AirAsia Philippines,2024-01-09,Manila (MNL),Legazpi (LGP),MNL-LGP,08:45,09:45,1h 00m,0,No info,3700
Philippine Airlines,2024-01-10,Zamboanga (ZAM),Caticlan (MPH),ZAM-MNL-MPH,07:45,14:00,6h 15m,1,Layover in MNL,6900
Cebu Pacific,2024-01-10,Cebu (CEB),Iloilo (ILO),CEB-ILO,14:20,15:05,0h 45m,0,No info,2900
AirAsia Philippines,2024-01-10,Manila (MNL),Tacloban (TAC),MNL-TAC,11:45,13:05,1h 20m,0,No info,4100
Philippine Airlines,2024-01-11,Davao (DVO),Cagayan de Oro (CGY),DVO-CGY,13:10,13:55,0h 45m,0,No info,3300
Cebu Pacific,2024-01-11,Manila (MNL),General Santos (GES),MNL-GES,10:45,12:35,1h 50m,0,No info,5000
AirAsia Philippines,2024-01-11,Legazpi (LGP),Davao (DVO),LGP-MNL-DVO,20:45,01:00,4h 15m,1,Red-eye flight,6700
Philippine Airlines,2024-01-12,Cebu (CEB),Davao (DVO),CEB-DVO,06:30,07:45,1h 15m,0,In-flight meal,4000
Cebu Pacific,2024-01-12,Manila (MNL),Iloilo (ILO),MNL-ILO,08:15,09:30,1h 15m,0,No info,4400
AirAsia Philippines,2024-01-12,Manila (MNL),Caticlan (MPH),MNL-MPH,07:45,08:55,1h 10m,0,No info,4300
Philippine Airlines,2024-01-13,Davao (DVO),Manila (MNL),DVO-MNL,19:30,21:45,2h 15m,0,No info,5600
Cebu Pacific,2024-01-13,Manila (MNL),Bacolod (BCD),MNL-BCD,16:20,17:35,1h 15m,0,No info,4300
AirAsia Philippines,2024-01-13,Bacolod (BCD),Puerto Princesa (PPS),BCD-MNL-PPS,18:15,22:30,4h 15m,1,Layover in MNL,6300
Philippine Airlines,2024-01-14,Manila (MNL),Cebu (CEB),MNL-CEB,13:30,15:00,1h 30m,0,In-flight meal,4900
Cebu Pacific,2024-01-14,Tacloban (TAC),Kalibo (KLO),TAC-MNL-KLO,11:45,16:30,4h 45m,1,Layover in MNL,6500
AirAsia Philippines,2024-01-14,Cebu (CEB),Iloilo (ILO),CEB-ILO,17:30,18:15,0h 45m,0,No info,2900
Philippine Airlines,2024-01-15,Caticlan (MPH),General Santos (GES),MPH-CEB-GES,05:15,10:05,4h 50m,1,Layover in CEB,6600
Cebu Pacific,2024-01-15,Manila (MNL),Legazpi (LGP),MNL-LGP,10:15,11:15,1h 00m,0,No info,3700
AirAsia Philippines,2024-01-15,Manila (MNL),General Santos (GES),MNL-GES,14:45,16:35,1h 50m,0,No info,5000
Philippine Airlines,2024-01-16,Cebu (CEB),Puerto Princesa (PPS),CEB-PPS,12:40,14:10,1h 30m,0,No info,4100
Cebu Pacific,2024-01-16,Iloilo (ILO),Zamboanga (ZAM),ILO-CEB-ZAM,09:15,13:20,4h 05m,1,Layover in CEB,5800
AirAsia Philippines,2024-01-16,Manila (MNL),Cagayan de Oro (CGY),MNL-CGY,11:20,12:50,1h 30m,0,No info,4700
Philippine Airlines,2024-01-17,Davao (DVO),Cebu (CEB),DVO-CEB,15:10,16:25,1h 15m,0,No info,3900
Cebu Pacific,2024-01-17,Manila (MNL),Iloilo (ILO),MNL-ILO,20:30,21:45,1h 15m,0,No info,4400
AirAsia Philippines,2024-01-17,Kalibo (KLO),Davao (DVO),KLO-MNL-DVO,13:15,18:30,5h 15m,1,Layover in MNL,7100
Philippine Airlines,2024-01-18,Manila (MNL),Cebu (CEB),MNL-CEB,06:45,08:15,1h 30m,0,No info,4700
Cebu Pacific,2024-01-18,Davao (DVO),Manila (MNL),DVO-MNL,17:15,19:30,2h 15m,0,No info,5600
AirAsia Philippines,2024-01-18,Manila (MNL),Bacolod (BCD),MNL-BCD,07:30,08:45,1h 15m,0,No info,4300
Philippine Airlines,2024-01-19,Manila (MNL),Kalibo (KLO),MNL-KLO,08:45,10:00,1h 15m,0,No info,4400
Cebu Pacific,2024-01-19,Puerto Princesa (PPS),Cagayan de Oro (CGY),PPS-MNL-CGY,14:30,20:15,5h 45m,1,Layover in MNL,7400
AirAsia Philippines,2024-01-19,Cebu (CEB),Davao (DVO),CEB-DVO,09:40,10:55,1h 15m,0,No info,3900
Philippine Airlines,2024-01-20,Zamboanga (ZAM),Legazpi (LGP),ZAM-MNL-LGP,06:30,12:45,6h 15m,1,Layover in MNL,7600
Cebu Pacific,2024-01-20,Manila (MNL),Iloilo (ILO),MNL-ILO,07:45,09:00,1h 15m,0,No info,4400
AirAsia Philippines,2024-01-20,Manila (MNL),Legazpi (LGP),MNL-LGP,12:45,13:45,1h 00m,0,No info,3700
Philippine Airlines,2024-01-21,Davao (DVO),Cagayan de Oro (CGY),DVO-CGY,12:20,13:05,0h 45m,0,No info,3300
Cebu Pacific,2024-01-21,Manila (MNL),General Santos (GES),MNL-GES,10:30,12:20,1h 50m,0,No info,5000
AirAsia Philippines,2024-01-21,Manila (MNL),Cebu (CEB),MNL-CEB,15:00,16:30,1h 30m,0,In-flight meal,4900
Philippine Airlines,2024-01-22,Cebu (CEB),Iloilo (ILO),CEB-ILO,14:50,15:35,0h 45m,0,No info,2900
Cebu Pacific,2024-01-22,Tacloban (TAC),Bacolod (BCD),TAC-CEB-BCD,16:45,20:25,3h 40m,1,Layover in CEB,5400
AirAsia Philippines,2024-01-22,Manila (MNL),Caticlan (MPH),MNL-MPH,11:30,12:40,1h 10m,0,No info,4300
Philippine Airlines,2024-01-23,General Santos (GES),Kalibo (KLO),GES-CEB-KLO,19:15,00:30,5h 15m,1,Red-eye flight,7100
Cebu Pacific,2024-01-23,Davao (DVO),Manila (MNL),DVO-MNL,20:45,23:00,2h 15m,0,No info,5700
AirAsia Philippines,2024-01-23,Manila (MNL),Puerto Princesa (PPS),MNL-PPS,11:45,13:15,1h 30m,0,No info,4600
Philippine Airlines,2024-01-24,Manila (MNL),Cebu (CEB),MNL-CEB,10:10,11:40,1h 30m,0,No info,4800
Cebu Pacific,2024-01-24,Legazpi (LGP),Davao (DVO),LGP-MNL-DVO,18:15,23:30,5h 15m,1,Layover in MNL,6800
AirAsia Philippines,2024-01-24,Cebu (CEB),Puerto Princesa (PPS),CEB-PPS,10:10,11:40,1h 30m,0,No info,4000
Philippine Airlines,2024-01-25,Davao (DVO),Cebu (CEB),DVO-CEB,16:40,17:55,1h 15m,0,In-flight meal,4100
Cebu Pacific,2024-01-25,Cagayan de Oro (CGY),Iloilo (ILO),CGY-CEB-ILO,13:45,17:20,3h 35m,1,Layover in CEB,5600
AirAsia Philippines,2024-01-25,Manila (MNL),Davao (DVO),MNL-DVO,14:45,17:00,2h 15m,0,No info,5600
Philippine Airlines,2024-01-26,Manila (MNL),Legazpi (LGP),MNL-LGP,08:45,09:45,1h 00m,0,No info,3800
Cebu Pacific,2024-01-26,Bacolod (BCD),General Santos (GES),BCD-CEB-GES,11:00,15:50,4h 50m,1,Layover in CEB,6400
AirAsia Philippines,2024-01-26,Manila (MNL),Cagayan de Oro (CGY),MNL-CGY,11:20,12:50,1h 30m,0,No info,4700
Philippine Airlines,2024-01-27,Manila (MNL),Cebu (CEB),MNL-CEB,19:00,20:30,1h 30m,0,In-flight meal,4900
Cebu Pacific,2024-01-27,Manila (MNL),Tacloban (TAC),MNL-TAC,09:15,10:35,1h 20m,0,No info,4200
AirAsia Philippines,2024-01-27,Zamboanga (ZAM),Caticlan (MPH),ZAM-MNL-MPH,13:15,19:30,6h 15m,1,Layover in MNL,7300
Philippine Airlines,2024-01-28,Davao (DVO),Manila (MNL),DVO-MNL,19:30,21:45,2h 15m,0,No info,5600
Cebu Pacific,2024-01-28,Manila (MNL),Bacolod (BCD),MNL-BCD,16:20,17:35,1h 15m,0,No info,4300
AirAsia Philippines,2024-01-28,Cebu (CEB),Iloilo (ILO),CEB-ILO,17:30,18:15,0h 45m,0,No info,2900
Philippine Airlines,2024-01-29,Puerto Princesa (PPS),Tacloban (TAC),PPS-CEB-TAC,09:15,13:30,4h 15m,1,Layover in CEB,6100
Cebu Pacific,2024-01-29,Manila (MNL),Kalibo (KLO),MNL-KLO,07:15,08:30,1h 15m,0,No info,4400
AirAsia Philippines,2024-01-29,Manila (MNL),Davao (DVO),MNL-DVO,05:45,08:00,2h 15m,0,No info,5500
Philippine Airlines,2024-01-30,Cebu (CEB),Davao (DVO),CEB-DVO,13:10,14:25,1h 15m,0,No info,3900
Cebu Pacific,2024-01-30,Iloilo (ILO),Legazpi (LGP),ILO-MNL-LGP,14:45,19:40,4h 55m,1,Layover in MNL,6700
AirAsia Philippines,2024-01-30,Manila (MNL),Legazpi (LGP),MNL-LGP,12:15,13:15,1h 00m,0,No info,3700
Philippine Airlines,2024-01-31,Manila (MNL),Cebu (CEB),MNL-CEB,08:15,09:45,1h 30m,0,No info,4800
Cebu Pacific,2024-01-31,Manila (MNL),General Santos (GES),MNL-GES,10:45,12:35,1h 50m,0,No info,5000
AirAsia Philippines,2024-01-31,Manila (MNL),Tacloban (TAC),MNL-TAC,16:20,17:40,1h 20m,0,No info,4100
Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Philippine Airlines,2024-02-01,Manila (MNL),Cebu (CEB),MNL-CEB,07:30,09:00,1h 30m,0,No info,4900
Cebu Pacific,2024-02-01,Manila (MNL),Davao (DVO),MNL-DVO,05:45,08:00,2h 15m,0,No info,5600
AirAsia Philippines,2024-02-01,Manila (MNL),Iloilo (ILO),MNL-ILO,15:20,16:35,1h 15m,0,No info,4600
Philippine Airlines,2024-02-02,Bacolod (BCD),Zamboanga (ZAM),BCD-CEB-ZAM,08:15,12:10,3h 55m,1,Layover in CEB,6100
Cebu Pacific,2024-02-02,Manila (MNL),Puerto Princesa (PPS),MNL-PPS,10:10,11:40,1h 30m,0,No info,4700
AirAsia Philippines,2024-02-02,Manila (MNL),Kalibo (KLO),MNL-KLO,06:45,08:00,1h 15m,0,No info,4500
Philippine Airlines,2024-02-03,Legazpi (LGP),Davao (DVO),LGP-MNL-DVO,07:15,11:30,4h 15m,1,Layover in MNL,6900
Cebu Pacific,2024-02-03,Zamboanga (ZAM),Iloilo (ILO),ZAM-CEB-ILO,11:20,14:35,3h 15m,1,Layover in CEB,5300
AirAsia Philippines,2024-02-03,Cagayan de Oro (CGY),Puerto Princesa (PPS),CGY-MNL-PPS,14:45,20:00,5h 15m,1,Layover in MNL,6200
Philippine Airlines,2024-02-04,Manila (MNL),Legazpi (LGP),MNL-LGP,13:40,14:40,1h 00m,0,No info,3900
Cebu Pacific,2024-02-04,Manila (MNL),Tacloban (TAC),MNL-TAC,17:15,18:35,1h 20m,0,No info,4200
AirAsia Philippines,2024-02-04,Manila (MNL),Caticlan (MPH),MNL-MPH,07:30,08:40,1h 10m,0,No info,4300
Philippine Airlines,2024-02-05,Bacolod (BCD),General Santos (GES),BCD-CEB-GES,09:30,13:20,3h 50m,1,Layover in CEB,5900
Cebu Pacific,2024-02-05,Tacloban (TAC),Davao (DVO),TAC-CEB-DVO,09:15,13:00,3h 45m,1,Layover in CEB,5200
AirAsia Philippines,2024-02-05,Manila (MNL),Cagayan de Oro (CGY),MNL-CGY,12:15,13:45,1h 30m,0,No info,4800
Philippine Airlines,2024-02-06,Manila (MNL),Cebu (CEB),MNL-CEB,20:15,21:45,1h 30m,0,In-flight meal,5000
Cebu Pacific,2024-02-06,Davao (DVO),Cebu (CEB),DVO-CEB,08:10,09:25,1h 15m,0,No info,3900
AirAsia Philippines,2024-02-06,Kalibo (KLO),Zamboanga (ZAM),KLO-MNL-ZAM,16:45,23:00,6h 15m,1,Layover in MNL,7300
Philippine Airlines,2024-02-07,Manila (MNL),Davao (DVO),MNL-DVO,06:30,08:45,2h 15m,0,No info,5700
Cebu Pacific,2024-02-07,Manila (MNL),Iloilo (ILO),MNL-ILO,14:20,15:35,1h 15m,0,No info,4500
AirAsia Philippines,2024-02-07,Cebu (CEB),Puerto Princesa (PPS),CEB-PPS,12:05,13:35,1h 30m,0,No info,4100
Philippine Airlines,2024-02-08,Iloilo (ILO),Legazpi (LGP),ILO-MNL-LGP,10:15,14:10,3h 55m,1,Layover in MNL,6000
Cebu Pacific,2024-02-08,General Santos (GES),Bacolod (BCD),GES-CEB-BCD,15:30,20:05,4h 35m,1,Layover in CEB,6300
AirAsia Philippines,2024-02-08,Manila (MNL),Kalibo (KLO),MNL-KLO,19:30,20:45,1h 15m,0,No info,4500
Philippine Airlines,2024-02-09,Manila (MNL),Cebu (CEB),MNL-CEB,12:05,13:35,1h 30m,0,No info,4800
Cebu Pacific,2024-02-09,Puerto Princesa (PPS),Tacloban (TAC),PPS-CEB-TAC,10:30,14:45,4h 15m,1,Layover in CEB,6200
AirAsia Philippines,2024-02-09,Manila (MNL),Legazpi (LGP),MNL-LGP,09:15,10:15,1h 00m,0,No info,3800
Philippine Airlines,2024-02-10,Zamboanga (ZAM),Caticlan (MPH),ZAM-MNL-MPH,08:30,14:45,6h 15m,1,Layover in MNL,7000
Cebu Pacific,2024-02-10,Cebu (CEB),Iloilo (ILO),CEB-ILO,15:45,16:30,0h 45m,0,No info,3000
AirAsia Philippines,2024-02-10,Manila (MNL),Tacloban (TAC),MNL-TAC,12:30,13:50,1h 20m,0,No info,4200
Philippine Airlines,2024-02-11,Davao (DVO),Cagayan de Oro (CGY),DVO-CGY,14:45,15:30,0h 45m,0,No info,3400
Cebu Pacific,2024-02-11,Manila (MNL),General Santos (GES),MNL-GES,11:20,13:10,1h 50m,0,No info,5100
AirAsia Philippines,2024-02-11,Legazpi (LGP),Davao (DVO),LGP-MNL-DVO,21:30,01:45,4h 15m,1,Red-eye flight,6800
Philippine Airlines,2024-02-12,Cebu (CEB),Davao (DVO),CEB-DVO,07:15,08:30,1h 15m,0,In-flight meal,4100
Cebu Pacific,2024-02-12,Manila (MNL),Iloilo (ILO),MNL-ILO,09:00,10:15,1h 15m,0,No info,4500
AirAsia Philippines,2024-02-12,Manila (MNL),Caticlan (MPH),MNL-MPH,08:30,09:40,1h 10m,0,No info,4400
Philippine Airlines,2024-02-13,Davao (DVO),Manila (MNL),DVO-MNL,20:15,22:30,2h 15m,0,No info,5700
